City,Latitude,Longitude,Max Temp,Humidity,Cloudiness,Wind Speed
Nizhniy Kuranakh,58.8353,125.4869,32.34,87,100,5.1
Acaraú,-2.8856,-40.12,82.99,73,95,16.4
Sorong,-0.8833,131.25,79.54,80,100,8.79
Yerbogachën,61.2767,108.0108,30.51,81,43,10.04
Fort Payne,34.4442,-85.7197,71.51,54,1,4.61
Bairiki Village,1.3292,172.9752,78.8,78,75,2.3
Kabompo,-13.5927,24.2008,73.49,51,52,1.52
Moerai,-22.4333,-151.3333,71.65,66,100,11.43
Kangayam,11.0,77.5667,76.32,87,32,8.34
Maragogi,-9.0122,-35.2225,80.04,77,26,10.58
Plettenberg Bay,-34.0527,23.3716,56.5,78,75,9.64
Sandviken,60.6167,16.7667,33.44,85,38,3.65
Lingao,19.9103,109.6859,69.53,83,100,11.1
Hammerfest,70.6634,23.6821,32.45,100,75,8.05
Bonavista,48.6499,-53.1147,57.2,99,100,8.08
Chumikan,54.7183,135.315,36.09,82,22,16.11
Lázaro Cárdenas,17.9583,-102.2,82.4,76,100,7.96
Camaná,-16.6228,-72.7111,65.88,70,51,10.92
Iquitos,-3.7481,-73.2472,91.44,62,75,8.05
Durban,-29.8579,31.0292,71.02,78,49,11.01
Assiut,27.181,31.1837,73.58,45,3,12.53
Traralgon,-38.1833,146.5333,50.41,84,100,5.01
Payo,-3.7508,103.6372,72.01,98,28,0.85
Jodiya,22.6925,70.306,82.02,58,99,15.88
Sumbe,-11.2061,13.8437,75.51,79,100,9.13
Manokwari,-0.8667,134.0833,77.0,81,66,2.98
Oriximiná,-1.7656,-55.8661,84.47,67,99,3.6
Hamilton,39.1834,-84.5333,60.73,67,90,9.22
Rio Claro,-22.4114,-47.5614,93.02,21,100,10.11
Gouré,13.9835,10.2704,88.02,14,7,6.71
Redcar,54.6166,-1.06,52.57,62,100,16.69
Daşoguz,41.8363,59.9666,48.31,34,0,11.5
Toora-Khem,52.4675,96.11,29.86,95,82,1.05
Saiha,22.4833,92.9667,63.18,91,56,3.2
San Felipe,10.3399,-68.7425,78.78,89,75,5.7
Belokurikha,51.9959,84.9896,38.71,56,96,6.93
Sørland,67.667,12.6934,42.44,58,97,8.16
Honiara,-9.4333,159.95,78.75,79,76,2.17
Shwebo,22.5667,95.7,72.43,94,78,3.87
Ongandjera,-17.8833,15.0667,72.66,11,5,11.54
Vryburg,-26.9566,24.7284,55.69,58,0,20.04
Abrau-Dyurso,44.69,37.59,60.26,88,100,7.18
Roebourne,-20.7833,117.1333,79.86,34,100,4.76
Roald,62.5833,6.1333,45.09,76,40,17.27
Mnogovershinnyy,53.9353,139.9242,36.9,76,99,16.55
Buraidah,26.326,43.975,79.25,17,0,7.67
Paracuru,-3.41,-39.0306,86.02,68,60,11.34
Berlevåg,70.8578,29.0864,36.09,59,100,20.54
Iquique,-20.2208,-70.1431,64.44,70,6,10.4
Bluefield,37.2698,-81.2223,62.62,52,1,4.0
Henties Bay,-22.116,14.2845,60.85,88,0,11.1
Glushkovo,51.3392,34.6328,39.24,72,4,7.99
Marquette,46.5333,-87.6335,46.33,70,98,8.75
Mahibadhoo,3.7833,72.9667,82.42,74,63,14.7
Pochutla,15.7432,-96.4661,85.82,65,95,6.22
Kurumkan,54.3,110.3,32.14,76,47,2.17
